violation_id,timestamp,number_plate,helmet_violation,triple_seat_violation,phone_violation,fine_amount
3496ed6d-4c17-4a8f-9d0a-4074d94459f3,2026-05-01T14:39:03.132162,MH190X5283,True,False,False,500
5098cb44-2aee-45e4-b7f4-912165e69529,2026-05-01T15:03:15.503085,MH43DT1428,True,False,False,500
cf914b02-5c2a-4afe-9163-88e0da719861,2026-05-01T15:04:03.381848,MH19DX5283,True,False,False,500
ec5f0101-c880-4d58-af34-a74dab30645e,2026-05-02T12:53:30.405767,MH19DX5283,True,False,False,500
